dateff,mktrf,smb,hml,rf,umd
19450630,0.003900,0.031000,0.043200,0.00020,0.041100
19450731,-0.021700,-0.014600,-0.027100,0.00030,-0.026200
19450831,0.062000,0.016100,-0.044000,0.00030,-0.014000
19450929,0.047700,0.017100,0.004800,0.00030,0.014000
19451031,0.038900,0.024600,0.022500,0.00030,0.002500
19451130,0.053900,0.041600,0.043400,0.00020,0.042600
19451231,0.012000,0.021200,-0.023200,0.00030,0.012500
19460131,0.062400,0.040200,0.022100,0.00030,0.037600
19460228,-0.058300,-0.007300,-0.012700,0.00030,-0.014500
19460330,0.058700,0.003100,-0.003600,0.00030,0.026900
19460430,0.042300,0.023700,0.004500,0.00030,0.030300
19460531,0.039300,0.014600,0.010900,0.00030,-0.006100
19460628,-0.038900,-0.015300,-0.005900,0.00030,-0.025200
19460731,-0.026900,-0.020600,0.000400,0.00030,-0.001000
19460830,-0.064400,-0.017800,0.006000,0.00030,-0.000300
19460930,-0.101700,-0.044100,-0.019600,0.00030,0.007400
19461031,-0.014400,0.000900,0.034400,0.00030,0.009700
19461130,-0.000100,-0.004000,0.015200,0.00030,0.002000
19461231,0.049600,0.000600,-0.013800,0.00030,-0.001000
19470131,0.012500,0.021800,-0.007300,0.00030,-0.064400
19470228,-0.010800,0.006800,0.001400,0.00030,-0.004900
19470331,-0.016700,-0.016100,0.006100,0.00030,0.040600
19470430,-0.048000,-0.039700,0.008500,0.00030,0.050500
19470529,-0.009700,-0.032600,0.003400,0.00030,0.033300
19470630,0.052900,-0.003100,-0.006000,0.00030,-0.018500
19470731,0.041400,0.014300,0.028200,0.00030,-0.034200
19470829,-0.017400,0.003000,0.001600,0.00030,0.033800
19470930,-0.005400,0.016400,0.013600,0.00060,-0.000200
19471031,0.024700,0.005100,0.000800,0.00060,0.013400
19471129,-0.019700,-0.017400,0.010600,0.00060,0.042300
19471231,0.030000,-0.024800,0.036900,0.00080,0.036000
19480131,-0.039300,0.024900,0.013800,0.00070,-0.042900
19480228,-0.043800,-0.017100,0.000700,0.00070,0.014700
19480331,0.080700,0.001300,0.044900,0.00090,-0.001900
19480430,0.036500,-0.016600,0.041000,0.00080,0.040600
19480528,0.073000,0.009300,-0.012300,0.00080,0.023800
19480630,-0.001000,-0.018600,0.027500,0.00090,0.039900
19480730,-0.050900,-0.003200,0.000700,0.00080,-0.015800
19480831,0.002500,-0.011000,0.002700,0.00090,0.002300
19480930,-0.029700,-0.012300,-0.017900,0.00040,-0.012600
19481030,0.059600,-0.015000,0.005600,0.00040,0.027900
19481130,-0.093000,-0.006200,-0.041400,0.00040,0.006000
19481231,0.032600,-0.028000,-0.019400,0.00040,0.046600
19490131,0.002300,0.018100,0.011700,0.00100,-0.029200
19490228,-0.029300,-0.018900,-0.009100,0.00090,-0.004100
19490331,0.040400,0.024800,0.013400,0.00100,-0.008700
19490430,-0.018700,-0.008900,-0.011800,0.00090,0.030600
19490531,-0.029400,-0.007700,-0.024200,0.00100,0.030400
19490630,0.001000,-0.008800,-0.017600,0.00100,-0.012800
19490729,0.055400,0.005700,0.003800,0.00090,-0.015400
19490831,0.026000,0.001300,-0.005700,0.00090,0.017000
19490930,0.030900,0.010500,0.002300,0.00090,-0.014200
19491031,0.031400,0.010300,-0.004900,0.00090,0.000000
19491130,0.018200,-0.009300,-0.009100,0.00080,0.012700
19491231,0.051300,0.020700,0.017500,0.00090,-0.007800
19500131,0.017000,0.033600,0.001400,0.00090,-0.023200
19500228,0.014800,0.000400,-0.008100,0.00090,0.013600
19500331,0.012600,-0.014100,-0.027700,0.00100,0.015400
19500429,0.039400,0.019900,0.013400,0.00090,0.003300
19500531,0.043100,-0.021200,0.004600,0.00100,0.003800
19500630,-0.059400,-0.023800,-0.007800,0.00100,-0.016600
19500731,0.013600,0.005100,0.136600,0.00100,-0.004700
19500831,0.048500,0.007300,-0.014100,0.00100,0.032100
19500929,0.048100,0.005700,-0.011100,0.00100,-0.001300
19501031,-0.001800,-0.005800,0.014400,0.00120,0.014200
19501130,0.027600,-0.008400,0.031700,0.00110,0.035900
19501230,0.055400,0.014900,0.072300,0.00110,0.049700
19510131,0.057000,0.017300,0.037200,0.00130,0.020000
19510228,0.014100,0.000900,-0.028300,0.00100,-0.015800
19510331,-0.021500,-0.006400,-0.042200,0.00110,-0.029500
19510430,0.048600,-0.014900,0.032800,0.00130,0.060200
19510531,-0.023400,-0.000100,-0.013300,0.00120,-0.009300
19510629,-0.026200,-0.019500,-0.039600,0.00120,-0.023900
19510731,0.069400,-0.019900,0.020100,0.00130,0.072400
19510831,0.042700,0.009900,-0.001600,0.00130,0.010000
19510928,0.007000,0.019000,0.006100,0.00120,0.005600
19511031,-0.025300,-0.002200,0.002500,0.00160,-0.003100
