"StatsDate","TenYearBondYield"
"2021-06-21","3.1558"
"2021-06-22","3.1553"
"2021-06-23","3.1440"
"2021-06-24","3.1358"
"2021-06-25","3.1439"
"2021-06-28","3.1439"
"2021-06-29","3.1528"
"2021-06-30","3.1368"
"2021-07-01","3.0899"
"2021-07-02","3.1425"
"2021-07-05","3.1409"
"2021-07-06","3.1388"
"2021-07-07","3.1405"
"2021-07-08","3.0659"
"2021-07-09","3.0603"
"2021-07-12","3.0491"
"2021-07-13","3.0272"
"2021-07-14","2.9932"
"2021-07-15","3.0312"
"2021-07-16","3.0195"
"2021-07-19","3.0164"
"2021-07-20","2.9917"
"2021-07-21","2.9918"
"2021-07-22","2.9931"
"2021-07-23","2.9786"
"2021-07-26","2.9595"
"2021-07-27","2.9376"
"2021-07-28","2.9585"
"2021-07-29","2.9491"
"2021-07-30","2.9180"
"2021-08-02","2.8241"
"2021-08-03","2.8389"
"2021-08-04","2.8516"
"2021-08-05","2.8297"
"2021-08-06","2.8214"
"2021-08-09","2.8594"
"2021-08-10","2.8745"
"2021-08-11","2.8934"
"2021-08-12","2.8842"
"2021-08-13","2.8878"
"2021-08-16","2.8941"
"2021-08-17","2.9023"
"2021-08-18","2.8729"
"2021-08-19","2.8467"
"2021-08-20","2.8589"
"2021-08-23","2.8719"
"2021-08-24","2.8845"
"2021-08-25","2.8520"
"2021-08-26","2.8888"
"2021-08-27","2.8813"
"2021-08-30","2.8725"
"2021-08-31","2.8637"
"2021-09-01","2.8401"
"2021-09-02","2.8413"
"2021-09-03","2.8419"
"2021-09-06","2.8426"
"2021-09-07","2.8569"
"2021-09-08","2.8775"
"2021-09-09","2.8829"
"2021-09-10","2.8902"
"2021-09-13","2.8809"
"2021-09-14","2.9181"
"2021-09-15","2.8938"
"2021-09-16","2.9155"
"2021-09-17","2.8955"
"2021-09-18","2.8844"
"2021-09-22","2.8788"
"2021-09-23","2.8818"
"2021-09-24","2.8813"
"2021-09-26","2.8872"
"2021-09-27","2.8838"
"2021-09-28","2.8981"
"2021-09-29","2.8953"
"2021-09-30","2.8807"
"2021-10-08","2.9174"
"2021-10-09","2.9293"
"2021-10-11","2.9575"
"2021-10-12","2.9746"
"2021-10-13","2.9799"
"2021-10-14","2.9768"
"2021-10-15","2.9849"
"2021-10-18","3.0376"
"2021-10-19","3.0480"
"2021-10-20","3.0155"
"2021-10-21","3.0085"
"2021-10-22","2.9926"
"2021-10-25","3.0031"
"2021-10-26","2.9969"
"2021-10-27","2.9931"
"2021-10-28","2.9954"
"2021-10-29","2.9899"
"2021-11-01","2.9771"
"2021-11-02","2.9608"
"2021-11-03","2.9429"
"2021-11-04","2.9557"
"2021-11-05","2.9232"
"2021-11-08","2.9170"
"2021-11-09","2.9315"
"2021-11-10","2.9151"
"2021-11-11","2.9407"
"2021-11-12","2.9533"
"2021-11-15","2.9542"
"2021-11-16","2.9487"
"2021-11-17","2.9458"
"2021-11-18","2.9385"
"2021-11-19","2.9275"
"2021-11-22","2.9396"
"2021-11-23","2.9430"
"2021-11-24","2.9334"
"2021-11-25","2.9122"
"2021-11-26","2.8881"
"2021-11-29","2.8901"
"2021-11-30","2.8948"
"2021-12-01","2.8907"
"2021-12-02","2.8991"
"2021-12-03","2.9168"
"2021-12-06","2.8818"
"2021-12-07","2.8876"
"2021-12-08","2.9082"
"2021-12-09","2.9108"
"2021-12-10","2.8961"
"2021-12-13","2.9087"
"2021-12-14","2.9005"
"2021-12-15","2.9009"
"2021-12-16","2.9127"
"2021-12-17","2.9123"
"2021-12-20","2.9135"
"2021-12-21","2.9162"
"2021-12-22","2.9073"
"2021-12-23","2.8867"
"2021-12-24","2.8887"
"2021-12-27","2.8733"
"2021-12-28","2.8740"
"2021-12-29","2.8538"
"2021-12-30","2.8557"
"2021-12-31","2.8352"
