MarkettypeID,date,Portfolios,RM,SMB,HML,RMW,CMA
P9714,2001/2/7,2,-0.008055,-0.003061,0.004841,0.000701,-0.000861
P9709,2001/2/8,2,-0.025055,-0.000371,0.004918,0.000858,-0.003011
P9709,2001/2/8,3,-0.025055,0.000439,0.005248,0.001144,-0.002268
P9709,2001/2/8,1,-0.025055,-0.00047,0.006984,0.00132,-0.003305
P9713,2001/2/8,2,-0.027055,-0.000716,0.00294,0.001646,-0.003367
P9713,2001/2/8,3,-0.027055,0.000119,0.00313,0.00148,-0.002445
P9714,2001/2/8,3,-0.025055,0.000439,0.005248,0.001144,-0.002268
P9713,2001/2/8,1,-0.027055,-0.000803,0.004651,0.002344,-0.004146
P9714,2001/2/8,2,-0.025055,-0.000371,0.004918,0.000858,-0.003011
P9714,2001/2/8,1,-0.025055,-0.00047,0.006984,0.00132,-0.003305
P9709,2001/2/9,1,0.013945,-0.000895,0.000931,0.000432,-0.000417
P9709,2001/2/9,2,0.013945,-0.001031,0.001086,-0.001151,0.000144
P9709,2001/2/9,3,0.013945,0.000125,0.002384,-0.001095,-0.000337
P9713,2001/2/9,1,0.012945,-0.000973,-0.000151,0.000333,-0.000625
P9714,2001/2/9,1,0.013945,-0.000895,0.000931,0.000432,-0.000417
P9713,2001/2/9,3,0.012945,-0.000114,0.001783,-0.001089,-0.000441
P9713,2001/2/9,2,0.012945,-0.001126,0.000492,-0.001126,-0.000183
P9714,2001/2/9,3,0.013945,0.000125,0.002384,-0.001095,-0.000337
P9714,2001/2/9,2,0.013945,-0.001031,0.001086,-0.001151,0.000144
P9709,2001/2/12,1,0.000945,-0.000447,0.00826,0.000375,0.001244
P9709,2001/2/12,2,0.000945,-0.000453,0.006536,0.000009,0.001417
P9709,2001/2/12,3,0.000945,0.000406,0.007161,0.000627,0.000659
P9713,2001/2/12,1,0.000945,-0.000585,0.006218,0.000733,0.001234
P9713,2001/2/12,2,0.000945,-0.000636,0.005274,0.000291,0.001248
P9713,2001/2/12,3,0.000945,0.000318,0.005574,0.000825,0.000722
P9714,2001/2/12,1,0.000945,-0.000447,0.00826,0.000375,0.001244
P9714,2001/2/12,2,0.000945,-0.000453,0.006536,0.000009,0.001417
P9714,2001/2/12,3,0.000945,0.000406,0.007161,0.000627,0.000659
P9709,2001/2/13,1,0.001945,0.002172,-0.003318,-0.000308,0.000494
P9709,2001/2/13,2,0.001945,0.001988,-0.001813,-0.000604,0.001195
P9709,2001/2/13,3,0.001945,0.001622,-0.002563,-0.000537,0.001409
P9713,2001/2/13,1,0.000945,0.002459,-0.003141,-0.000107,0.000659
P9713,2001/2/13,2,0.000945,0.002267,-0.002032,-0.0005,0.001347
P9714,2001/2/13,3,0.001945,0.001622,-0.002563,-0.000537,0.001409
P9714,2001/2/13,2,0.001945,0.001988,-0.001813,-0.000604,0.001195
P9713,2001/2/13,3,0.000945,0.001897,-0.002611,-0.000432,0.001606
P9714,2001/2/13,1,0.001945,0.002172,-0.003318,-0.000308,0.000494
P9709,2001/2/14,3,-0.000055,-0.000321,-0.001609,0.001087,-0.001801
P9709,2001/2/14,2,-0.000055,0.000309,-0.001006,0.001827,-0.001725
