,0,1,2,3
2687,7,6,7,7
2688,8,6,7,7
2689,4,6,4,3
2690,7,9,7,6
2691,4,5,5,6
2692,5,5,8,4
2693,6,5,6,6
2694,3,2,3,4
2695,6,5,8,8
2696,7,6,3,3
2697,7,7,9,8
2698,6,5,8,8
2699,5,3,4,6
2700,3,4,3,7
2701,7,5,5,4
2702,7,6,5,4
2703,4,5,2,3
2705,6,5,6,6
2706,8,6,6,5
2707,6,5,3,2
2708,5,1,4,5
2709,5,4,6,6
2711,5,2,2,2
2712,6,5,6,6
2713,7,8,3,1
2714,5,5,3,5
2715,3,5,4,7
2716,8,5,3,2
2717,3,5,4,4
2718,4,3,1,3
2719,6,3,4,5
2721,4,4,3,6
2722,5,5,5,3
2723,0,0,7,7
2724,8,9,6,6
2725,6,5,7,6
2726,2,2,3,3
2727,7,6,4,3
2728,10,8,6,4
2729,1,1,4,6
2730,8,4,8,8
2731,2,3,3,5
2732,4,3,8,8
2733,6,5,5,5
2734,4,4,4,5
2735,4,6,4,6
2736,1,1,1,1
2737,7,4,4,5
2738,3,2,5,6
2739,7,5,5,4
2740,5,7,3,3
2741,5,3,6,6
2742,8,6,7,6
2743,8,8,7,6
2745,7,5,7,8
2746,7,6,8,8
2747,6,7,6,4
2748,3,5,5,4
2749,4,6,2,4
2750,7,6,3,2
2751,7,7,9,7
2752,2,2,3,2
2753,7,7,5,5
2755,6,7,8,8
2756,6,6,6,2
2757,5,6,5,5
2758,4,4,7,7
2759,3,5,5,6
2760,9,8,4,4
2761,7,7,2,5
2762,6,6,7,5
2763,6,3,4,5
2765,6,5,2,2
2766,6,2,0,1
2767,4,3,3,2
2768,6,5,7,5
2769,6,8,6,7
2770,3,3,7,6
2771,4,4,4,5
2772,7,5,3,1
2773,6,5,8,3
2774,3,4,3,4
2775,5,5,5,5
2776,5,6,5,3
2777,5,5,9,7
2778,4,3,2,3
2779,3,4,6,3
2780,9,8,6,6
2781,6,8,5,5
2782,7,7,4,5
2783,2,1,6,6
2785,5,5,4,4
2786,5,4,3,2
2787,2,2,6,5
2788,8,6,4,5
2789,8,6,7,7
2790,4,4,6,6
2791,3,4,5,5
2792,5,4,4,4
2793,2,3,5,4
2795,8,7,8,6
2796,2,3,8,7
2797,1,1,1,1
2798,6,7,7,8
2799,5,6,4,3
2800,3,3,8,7
2801,5,5,7,6
2802,5,5,6,7
2803,7,7,5,4
2805,6,3,2,2
2806,3,4,4,7
2807,1,1,1,1
2808,4,5,5,5
2809,6,7,6,6
2810,6,7,9,9
2811,8,6,5,5
2812,5,4,4,2
2813,4,6,5,4
2815,9,9,3,2
2816,6,6,3,3
2817,3,3,6,7
2818,6,9,7,7
2819,5,5,6,5
2820,5,4,7,5
2821,5,5,7,5
2822,5,6,7,6
2823,2,2,4,5
2824,3,4,3,4
2825,6,4,6,3
2826,4,3,5,4
2827,3,3,2,2
2828,3,3,5,3
2829,4,4,3,5
2830,4,4,3,3
2831,4,4,3,4
2832,6,6,6,7
2833,6,6,6,4
2835,5,3,4,4
2836,3,6,5,4
2837,5,5,4,4
2838,3,2,3,4
2839,1,1,1,1
2840,3,5,6,5
2841,4,6,4,4
2842,6,7,3,1
2843,6,6,5,5
2845,4,3,6,4
2846,4,4,5,6
2847,5,4,6,7
2848,4,3,3,4
2849,5,3,6,4
2850,5,3,7,6
2851,7,6,5,7
2852,6,7,5,6
2853,7,6,5,4
2855,4,4,3,2
2856,4,2,5,3
2857,4,4,5,6
2858,5,3,6,6
