Stkcd,0,1,2,3
885,3559058.82,4541895.14,5544586.75,5087915.33
886,3631848.56,4513177.14,3883656.72,3447781.49
887,12331372.53,15085216.59,11684889.2,10548747.49
888,2982328.16,3962380.89,3172012.36,3124594.69
889,6340765.86,7795412.15,7938390.2,6048593.32
890,1670344.95,2444777.61,2152463.79,2194230.2
892,2461364.38,2846952.18,1991252.0,2287248.92
893,1727197.8,2452540.73,2969497.85,2965490.43
895,77823966.49,85279688.07,82112628.09,21799104.2
897,3768180.0,4075456.48,3913732.01,3622627.98
898,31544342.35,35049255.03,30296084.13,24700511.35
899,2832432.15,5463774.43,5132045.27,4702748.71
900,5900021.85,7722132.45,7069771.56,6690409.28
901,5012336.05,8499425.04,7053558.87,6441192.02
902,10509128.0,12725897.19,12584988.99,12080805.63
903,4241357.83,5425403.55,5001267.77,4400408.75
905,3217860.0,4715280.0,4056840.0,3844440.0
906,3230764.64,4254271.34,4254271.34,3837512.6
908,3139154.83,4022925.9,3533939.02,3095106.64
909,2058833.41,2696387.57,2360505.38,2516006.39
910,5568146.44,8122688.9,6016406.54,5806101.07
911,1772722.73,2297733.84,2044950.71,1788926.77
912,7432320.0,10960320.0,8467200.0,7887040.0
913,4154348.54,5397024.85,4671420.8,4322198.08
915,3454800.36,5434307.6,4773693.75,4983782.96
917,8958908.46,11703545.16,9101013.63,7638375.71
918,13747939.23,13910316.47,11907663.9,11618993.26
919,3153939.17,3913169.04,3928258.38,3690473.29
920,2185404.83,3109239.57,3269553.14,2817701.32
921,6377387.91,12141391.97,11257397.61,9788055.73
922,3256382.59,4319195.98,4896706.45,3770803.68
923,2692800.0,3379860.0,3387780.0,2924460.0
925,2676321.43,3664501.65,3246314.36,2941445.57
926,5795968.81,7387019.07,6552346.12,5943996.31
927,5024788.52,7289931.29,6747573.16,5710712.04
928,3232738.45,4592718.07,4317749.51,3834696.64
929,1153533.72,1484176.24,1480461.16,1324427.61
930,6028090.47,7035480.26,6109331.58,5621884.92
931,4858466.6,6487316.67,6227543.17,6311794.04
932,18272837.12,22856219.07,20136544.4,17223710.93
933,7411827.74,9426324.5,8000973.02,8514097.76
935,11482142.61,14337409.45,12207410.92,10306421.72
936,5418492.79,9438093.65,7906395.53,6037999.29
937,10957881.4,12614643.31,11219475.39,10173099.45
938,9018885.12,12576238.08,22704443.01,64310938.89
939,3675746.56,3675746.56,,
948,2351639.79,4072220.44,3316690.43,3297450.03
949,3270188.98,4087736.23,3550839.53,4661354.69
950,3569266.91,4493579.06,3882177.64,4436774.44
951,7473852.29,12029279.31,10767982.88,9828719.57
952,2501850.72,2864291.87,2504367.67,2292943.66
953,1143891.21,1270336.77,1055673.38,1090960.51
955,2180484.56,2955767.96,2376184.71,2085881.6
957,2638372.53,4405192.79,4446695.28,3776726.52
958,3539659.79,5925082.69,7035348.65,6859464.93
959,11065142.19,13023049.39,10442171.72,9908184.92
960,13414604.93,16986208.33,18640146.7,16938002.6
961,20756092.58,35148463.38,32040599.25,28710706.02
962,2702294.4,3566323.28,3482565.37,3072592.49
963,34455682.09,47580237.98,45425055.87,45844348.74
965,4272848.95,5316089.99,4161865.86,3518163.94
966,3890077.12,4577213.25,6283970.73,5075941.09
967,6171000.78,8003173.73,8490110.1,7207812.65
968,5471405.55,6555411.72,5961007.12,5412445.25
969,4117312.89,6559741.61,8446716.21,6725108.49
970,7807916.0,10428308.0,12090020.0,10087444.0
971,1965373.26,2610631.35,1473021.87,1182980.09
972,2144168.35,2691779.69,1966773.13,1974485.96
973,3105353.9,4711237.84,3985687.87,3676119.88
975,12521339.78,13381490.7,16206482.9,16135994.15
976,2686301.92,9088067.04,8992403.18,8243232.69
977,20443027.46,32231304.28,30761556.8,33133780.79
978,1883079.41,2455564.36,2027100.78,1872277.81
979,1845562.66,,,
980,5394940.61,6541209.74,5245427.24,4335887.6
981,8031864.67,10889354.99,4633768.08,3578298.68
982,2292404.96,2779766.65,3465683.1,2888069.25
983,17300075.15,19631961.42,19096257.82,18529042.24
985,1607529.8,1957556.45,1869401.59,1818842.19
987,4290678.11,24371824.68,20057833.81,19746304.94
988,12002747.17,15521140.4,15903137.37,19078259.12
989,4121732.49,8418703.13,5706508.59,4834771.26
990,4656069.76,10095258.65,6361873.83,5679552.2
993,1704610.0,3021300.0,3159310.0,2707980.0
995,929604.56,800098.58,,
996,2884200.0,4947300.0,4702350.0,3415500.0
997,14703478.4,17779212.03,16999333.29,16486967.23
998,14285273.6,15694496.53,13976235.21,12101908.74
999,24322907.36,28216920.68,28706118.34,28500655.32
1696,3885582.95,5970964.63,5552048.91,5052988.33
1872,6982186.69,8525519.56,7581790.33,8051346.17
1896,2835011.21,3578620.71,3615791.46,3058118.74
1965,4455307.9,5037882.41,4621757.76,4366534.64
1979,32958905.38,55340315.16,50200199.08,150275454.2
2001,31843435.24,39204975.57,40694497.5,45378486.33
2002,7341570.1,13816427.06,15782335.52,10734899.66
2003,4415089.1,4796498.97,4344788.47,3951109.44
2004,7777286.99,9953577.71,8790794.38,8736530.22
2005,3491345.98,4408427.65,2707036.25,2368656.72
2006,2521586.4,2740063.2,2708202.0,2148355.2
2007,26323605.17,36118853.6,36698101.07,41283859.19
2008,30156944.52,41917768.43,34152911.2,35315220.97
2009,2238405.94,3215487.9,2888441.75,2431096.37
2010,20687237.14,27243499.98,23965368.56,24761031.53
2011,3557831.68,5197548.15,4101404.43,4476645.4
2012,1830542.96,2456557.52,2395844.12,2156369.44
2013,20458127.02,28939282.26,24825775.18,23490931.87
2014,3189371.27,3860306.08,4084484.11,3558262.23
2015,1907350.21,2432272.22,2275997.73,2292025.88
2016,6195347.6,7301169.07,5632134.18,5673344.92
2017,3213009.27,7445424.79,5566256.58,6772060.71
2018,2778949.45,3052288.75,2437275.34,501122.03
2019,8701710.23,10775482.3,9969646.61,10833210.88
2020,5052317.71,6620555.28,6779448.61,6055601.23
2021,2076159.52,2220528.23,1182435.57,1106669.79
2022,4636389.9,5940676.95,5132880.18,4857840.99
2023,6823553.35,8478347.45,8069593.53,7852030.96
2024,57590473.31,73376694.42,88420319.22,80550960.87
2025,9191300.71,11897651.96,10456552.09,11134212.15
2026,2039744.12,2494252.32,2348195.67,2088981.22
2027,36496017.64,92030309.36,77645986.68,76782918.95
2028,5726548.21,7211639.1,5778594.16,6506552.29
2029,4684237.44,5651305.82,4807998.21,4205137.75
2030,7760319.97,10158686.58,8195692.26,7677136.2
2031,3554357.75,4953413.46,3975402.14,3691444.84
2032,28572418.04,40863133.77,46291525.61,43752692.11
2033,3115552.63,3851856.07,3285891.48,3165005.84
2034,2385370.12,3979250.88,4225324.89,4212069.9
2035,6919963.02,10983729.57,9535411.7,7711993.59
2036,4730341.55,7535544.1,6501889.83,10090364.54
2037,2645134.73,3139460.65,2504366.42,2304671.85
2038,14066327.42,15648151.42,16136244.0,10629854.74
2039,3969816.99,4385120.93,4183576.37,4296864.22
2040,2386505.24,3536813.04,3377303.69,2831290.93
2041,4710116.95,5715058.42,9560051.84,7096578.91
2042,8241192.75,11792645.98,10821720.32,11021735.37
2043,3517025.12,5264456.76,4484812.25,3898222.57
2044,35051239.96,43585454.91,35425321.38,41238293.74
2045,1912154.57,2502428.37,2536709.69,3199345.16
2046,2162593.91,3522988.18,3245072.64,3040722.98
2047,8651982.3,8942486.82,7085784.05,6454252.49
2048,5684003.12,6948325.96,5896540.15,8136353.46
2049,17472929.83,27225122.15,26741407.18,30972413.06
2050,23612938.01,29157977.82,25476077.89,31778690.53
2051,12315254.46,16772309.56,12743275.52,11055858.34
2052,3080786.78,3498520.58,3222517.89,3349329.94
2053,2525947.74,3311866.66,2936447.43,2635368.64
2054,1957452.74,2229061.01,2419479.41,2347773.47
2055,4118349.17,6154099.85,4590277.76,4398050.18
2056,9082985.38,11464024.14,12482318.55,11078222.73
2057,1860320.73,2461249.07,6386461.89,4698748.24
2058,1844745.55,1955200.77,1970980.08,2057788.04
2059,3778197.62,5174011.44,4706304.19,3997435.39
2060,3268683.45,4229884.85,3869383.3,3713320.54
2061,5943663.98,5058191.16,3460854.18,3899756.83
2062,3494486.99,4256209.34,3700218.03,3272203.7
2063,4097096.19,7964674.31,6647499.06,7480249.33
2064,6426174.04,8281942.68,7811627.02,7858310.05
2065,19513658.44,24848327.66,19625180.89,18922792.57
2066,1674750.0,2106720.0,1986600.0,1783320.0
2067,3421793.35,4104333.21,3353659.44,2988878.32
2068,3581296.88,4048644.78,3028896.17,2980336.72
2069,2245147.96,3229982.8,2389929.34,2024896.91
2070,,,325245.45,
2071,2358839.45,2960213.9,2018827.01,1643230.1
2072,1041918.72,1028387.31,902695.65,810804.35
2073,3709804.54,5061057.85,4571098.69,4700879.19
