This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202108 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
198008,    1.80,    4.26,   -2.61,    2.07,   -0.87,    0.64
198009,    2.19,    0.66,   -4.58,    1.90,   -2.77,    0.75
198010,    1.06,    2.36,   -2.79,    1.69,   -1.18,    0.95
198011,    9.59,   -3.31,   -8.33,    4.51,   -5.71,    0.96
198012,   -4.52,   -0.29,    2.79,   -1.29,    1.23,    1.31
198101,   -5.04,    3.29,    6.72,   -3.53,    4.35,    1.04
198102,    0.57,   -0.51,    1.02,    0.21,    2.27,    1.07
198103,    3.56,    3.03,    0.64,   -2.26,   -0.52,    1.21
198104,   -2.11,    4.59,    2.28,    0.83,    1.22,    1.08
198105,    0.11,    2.45,   -0.42,    0.30,   -1.54,    1.15
198106,   -2.36,   -0.95,    5.13,   -1.37,    2.69,    1.35
198107,   -1.54,   -2.05,   -0.49,    1.26,   -2.55,    1.24
198108,   -7.04,   -1.81,    4.79,   -0.31,    1.41,    1.28
198109,   -7.17,   -2.44,    5.17,    0.12,    2.61,    1.24
198110,    4.92,    2.36,   -4.21,    3.14,   -3.01,    1.21
198111,    3.36,   -1.51,    1.85,    0.07,    0.96,    1.07
198112,   -3.65,    1.20,    0.82,    0.22,    2.50,    0.87
198201,   -3.24,   -1.13,    3.19,   -1.49,    1.92,    0.80
198202,   -5.86,    0.35,    6.05,   -3.43,    4.56,    0.92
198203,   -1.87,   -0.04,    3.83,   -1.39,    2.49,    0.98
198204,    3.27,    1.09,   -2.70,    1.56,   -0.02,    1.13
198205,   -3.99,    0.64,    1.76,    0.88,   -0.31,    1.06
198206,   -3.09,   -0.52,    1.55,    0.01,    2.70,    0.96
198207,   -3.19,    0.95,    0.09,    1.04,    1.54,    1.05
198208,   11.14,   -4.33,    0.93,   -1.89,    0.11,    0.76
198209,    1.29,    2.62,    0.27,    2.14,   -0.04,    0.51
198210,   11.30,    1.94,   -3.67,    0.29,   -0.34,    0.59
198211,    4.67,    4.42,   -1.85,   -0.97,    0.29,    0.63
198212,    0.55,   -0.07,    0.01,   -0.01,    1.05,    0.67
198301,    3.60,    3.33,   -0.71,   -1.55,   -0.55,    0.69
198302,    2.59,    2.93,    0.70,   -0.52,    1.05,    0.62
198303,    2.82,    1.38,    2.01,   -0.17,    2.74,    0.63
