Indexcd,Trddt,Daywk,Opnindex,Hiindex,Loindex,Clsindex,Retindex
1,2002/9/4,3,1674.45,1675.97,1662.49,1663.97,-0.006033
1,2002/9/5,4,1662.89,1662.9,1639.82,1641.81,-0.013318
1,2002/9/6,5,1639.89,1644.8,1629.93,1631.38,-0.006353
1,2002/9/9,1,1628.45,1628.45,1617.01,1621.58,-0.006007
1,2002/9/10,2,1620.28,1627.35,1619.33,1625.11,0.002177
1,2002/9/11,3,1625.33,1626.84,1605.98,1620.36,-0.002923
1,2002/9/12,4,1619.94,1631.67,1614.6,1624.56,0.002592
1,2002/9/13,5,1624.5,1626.07,1621.42,1625.76,0.000739
1,2002/9/16,1,1624.13,1624.14,1598.74,1604.08,-0.013335
1,2002/9/17,2,1603.46,1612.02,1593.98,1604.88,0.000499
1,2002/9/18,3,1603.61,1605.22,1593.53,1594.58,-0.006418
1,2002/9/19,4,1593.57,1623.65,1585.07,1619.35,0.015534
1,2002/9/20,5,1618.2,1618.2,1602.89,1604.91,-0.008917
1,2002/9/23,1,1602.28,1604.3,1597.29,1602.59,-0.001446
1,2002/9/24,2,1602.2,1602.29,1594.28,1596.73,-0.003657
1,2002/9/25,3,1595.81,1602.35,1590.49,1597.84,0.000695
1,2002/9/26,4,1597.85,1599.98,1586.53,1587.65,-0.006377
1,2002/9/27,5,1587.24,1591.84,1577.53,1581.62,-0.003798
1,2002/10/8,2,1577.05,1577.05,1558.48,1562.99,-0.011779
1,2002/10/9,3,1570.65,1571.52,1534.91,1535.37,-0.017671
1,2002/10/10,4,1532.18,1542.56,1528.35,1530.41,-0.00323
1,2002/10/11,5,1532.14,1536.87,1521.91,1524.05,-0.004156
1,2002/10/14,1,1522.87,1532.63,1509.14,1531.68,0.005006
1,2002/10/15,2,1531.58,1534.58,1522.1,1524.73,-0.004538
1,2002/10/16,3,1524.91,1548.53,1524.91,1537.39,0.008303
1,2002/10/17,4,1537.97,1538.79,1511.4,1513.1,-0.0158
1,2002/10/18,5,1511.18,1523.83,1500.54,1519.54,0.004256
1,2002/10/21,1,1519.21,1525.26,1512.33,1524.93,0.003547
1,2002/10/22,2,1525.08,1553.87,1525.07,1548.1,0.015194
1,2002/10/23,3,1549.77,1550.09,1539.48,1548.97,0.000562
1,2002/10/24,4,1549.79,1550.43,1535.9,1536.52,-0.008038
1,2002/10/25,5,1535.8,1542.59,1517.42,1520.31,-0.01055
1,2002/10/28,1,1518.09,1518.6,1500.01,1502.72,-0.01157
1,2002/10/29,2,1501.38,1511.77,1488.68,1510.88,0.00543
1,2002/10/30,3,1511.11,1513.46,1498.45,1509.71,-0.000774
1,2002/10/31,4,1510.03,1521.87,1506,1507.5,-0.001464
1,2002/11/1,5,1507.38,1511.1,1498.21,1510.76,0.002163
1,2002/11/4,1,1516.22,1532.23,1515.07,1531.84,0.013953
1,2002/11/5,2,1533.81,1565.23,1532.29,1558.24,0.017234
1,2002/11/6,3,1558.91,1559.23,1548.73,1552.56,-0.003645
1,2002/11/7,4,1554.04,1559.82,1546.27,1554.24,0.001082
1,2002/11/8,5,1570,1573.1,1517.39,1522.19,-0.020621
1,2002/11/11,1,1519.6,1526.13,1501.99,1504.4,-0.011687
1,2002/11/12,2,1504.58,1517.72,1481.16,1485.91,-0.012291
1,2002/11/13,3,1483.71,1491.24,1461.26,1490.46,0.003062
1,2002/11/14,4,1488.91,1489.14,1459.71,1460.8,-0.0199
1,2002/11/15,5,1455.98,1481.22,1451.39,1463.69,0.001978
1,2002/11/18,1,1463.72,1468.33,1447.49,1451.29,-0.008472
1,2002/11/19,2,1450.7,1464.76,1441.73,1462.17,0.007497
1,2002/11/20,3,1459.21,1459.21,1423.8,1425.84,-0.024847
1,2002/11/21,4,1421.23,1421.23,1389.29,1390.63,-0.024694
1,2002/11/22,5,1392.57,1409,1375.54,1395.5,0.003502
1,2002/11/25,1,1393.34,1403.51,1383.09,1398.44,0.002107
1,2002/11/26,2,1398.44,1408.79,1371.01,1371.17,-0.0195
1,2002/11/27,3,1365.82,1384,1353.14,1378.75,0.005528
1,2002/11/28,4,1378.14,1417.85,1372.38,1417.53,0.028127
1,2002/11/29,5,1420.43,1450.19,1409.2,1434.18,0.011746
1,2002/12/2,1,1432.03,1432.03,1394.91,1395.68,-0.026845
1,2002/12/3,2,1391.72,1409.89,1388.51,1408.84,0.009429
1,2002/12/4,3,1414.89,1432.9,1406.61,1414.45,0.003982
1,2002/12/5,4,1411.89,1411.89,1395.08,1404.88,-0.006766
1,2002/12/6,5,1404.93,1417,1396.21,1405.53,0.000463
1,2002/12/9,1,1404.51,1410.79,1395.93,1400.87,-0.003315
1,2002/12/10,2,1400.56,1406.9,1383.57,1383.84,-0.012157
1,2002/12/11,3,1381.4,1383.15,1367.31,1379.2,-0.003353
1,2002/12/12,4,1378.82,1399.77,1378.81,1383.91,0.003415
1,2002/12/13,5,1375.78,1401.6,1367.93,1396.9,0.009386
1,2002/12/16,1,1397.72,1409.94,1392.89,1408.52,0.008318
1,2002/12/17,2,1409.17,1418.21,1403.58,1416.1,0.005382
1,2002/12/18,3,1416.67,1424.48,1409.84,1411.72,-0.003093
1,2002/12/19,4,1411.28,1414.29,1402.64,1413.6,0.001332
1,2002/12/20,5,1414.35,1431.36,1410.46,1427.94,0.010144
1,2002/12/23,1,1429.95,1439.85,1429.29,1430.2,0.001583
1,2002/12/24,2,1429.53,1431.12,1420.38,1430.83,0.00044
1,2002/12/25,3,1431.59,1433.79,1420.93,1421.52,-0.006507
1,2002/12/26,4,1419.97,1420,1382.36,1384.15,-0.026289
1,2002/12/27,5,1379.33,1389.33,1367.85,1382.97,-0.000853
1,2002/12/30,1,1379.74,1379.75,1358.43,1366.36,-0.01201
1,2002/12/31,2,1364.97,1370.53,1348.71,1357.65,-0.006375
1,2003/1/2,4,1347.433,1351.344,1317.468,1320.63,-0.027268
1,2003/1/3,5,1317.583,1323.628,1312.796,1319.868,-0.000577
1,2003/1/6,1,1319.688,1334.887,1311.684,1334.679,0.011222
1,2003/1/7,2,1335.632,1346.819,1326.191,1332.061,-0.001962
1,2003/1/8,3,1331.441,1373.116,1330.451,1372.067,0.030033
1,2003/1/9,4,1374.618,1402.286,1365.37,1397.384,0.018452
1,2003/1/10,5,1398.377,1411.374,1384.63,1384.859,-0.008963
1,2003/1/13,1,1381.87,1391.187,1378.647,1386.314,0.001051
1,2003/1/14,2,1386.897,1476.912,1386.592,1466.851,0.058094
1,2003/1/15,3,1477.454,1485.795,1448.271,1459.92,-0.004725
1,2003/1/16,4,1458.866,1486.059,1454.546,1485.618,0.017602
1,2003/1/17,5,1488.265,1492.723,1472.96,1478.675,-0.004673
1,2003/1/20,1,1475.711,1482.943,1458.117,1482.681,0.002709
1,2003/1/21,2,1485.87,1489.551,1454.611,1454.891,-0.018743
1,2003/1/22,3,1448.826,1463.938,1446.348,1460.53,0.003876
1,2003/1/23,4,1460.249,1470.327,1448.701,1450.616,-0.006788
1,2003/1/24,5,1449.504,1483.557,1448.011,1479.07,0.019615
1,2003/1/27,1,1481.609,1500.384,1480.967,1496.157,0.011553
1,2003/1/28,2,1497.098,1502.432,1489.165,1500.639,0.002996
1,2003/1/29,3,1501.286,1508.588,1498.372,1499.815,-0.000549
1,2003/2/10,1,1499.166,1499.641,1477.517,1480.169,-0.013099
1,2003/2/11,2,1478.046,1492.894,1476.874,1492.764,0.008509
1,2003/2/12,3,1493.248,1510.985,1486.313,1510.671,0.011996
1,2003/2/13,4,1512.285,1519.29,1502.431,1504.338,-0.004192
1,2003/2/14,5,1503.373,1515.255,1500.983,1510.95,0.004395
1,2003/2/17,1,1510.64,1514.636,1490.918,1496.523,-0.009548
1,2003/2/18,2,1495.141,1500.293,1488.827,1496.468,-0.000037
1,2003/2/19,3,1496.651,1511.132,1490.022,1510.803,0.009579
1,2003/2/20,4,1513.007,1517.766,1507.227,1509.486,-0.000872
1,2003/2/21,5,1508.077,1508.129,1476.415,1478.871,-0.020282
1,2003/2/24,1,1476.07,1488.072,1474.471,1481.936,0.002073
1,2003/2/25,2,1481.106,1511.649,1481.106,1511.275,0.019798
1,2003/2/26,3,1513.493,1515.457,1506.553,1513.175,0.001257
1,2003/2/27,4,1514.024,1524.751,1508.747,1513.704,0.00035
1,2003/2/28,5,1512.865,1514.502,1501.424,1511.932,-0.001171
1,2003/3/3,1,1511.585,1525.699,1511.045,1525.483,0.008963
1,2003/3/4,2,1527.449,1529.752,1517.859,1524.304,-0.000773
1,2003/3/5,3,1524.077,1524.123,1508.251,1517.179,-0.004674
1,2003/3/6,4,1516.601,1517.348,1494.241,1498.343,-0.012415
1,2003/3/7,5,1495.694,1502.428,1489.384,1493.093,-0.003504
1,2003/3/10,1,1492.209,1496.164,1467.639,1468.919,-0.016191
1,2003/3/11,2,1467.551,1473.955,1463.584,1469.548,0.000428
1,2003/3/12,3,1468.747,1475.287,1458.5,1475.008,0.003715
1,2003/3/13,4,1475.037,1477.858,1463.33,1464.649,-0.007023
1,2003/3/14,5,1464.992,1471.499,1461.351,1466.044,0.000952
1,2003/3/17,1,1465.144,1469.533,1453.368,1469.274,0.002203
1,2003/3/18,2,1468.986,1478.995,1458.979,1459.892,-0.006385
1,2003/3/19,3,1458.582,1475.844,1452.592,1469.96,0.006896
1,2003/3/20,4,1469.663,1477.253,1460.799,1464.54,-0.003687
1,2003/3/21,5,1464.184,1475.809,1461.915,1474.657,0.006908
1,2003/3/24,1,1474.591,1477.974,1470.435,1477.766,0.002108
1,2003/3/25,2,1478.053,1478.405,1461.754,1462.4,-0.010398
1,2003/3/26,3,1461.321,1465.425,1452.891,1456.271,-0.004191
1,2003/3/27,4,1455.439,1507.668,1447.014,1499.347,0.02958
1,2003/3/28,5,1498.455,1508.263,1488.601,1491.941,-0.004939
1,2003/3/31,1,1491.391,1511.22,1490.986,1510.578,0.012492
1,2003/4/1,2,1513.001,1525.235,1508.844,1522.546,0.007923
1,2003/4/2,3,1522.491,1525.769,1516.788,1521.32,-0.000805
1,2003/4/3,4,1521.356,1522.671,1510.512,1511.729,-0.006304
1,2003/4/4,5,1510.222,1521.783,1509.61,1521.128,0.006217
1,2003/4/7,1,1521.898,1530.371,1512.5,1515.132,-0.003942
1,2003/4/8,2,1515.645,1523.947,1513.235,1520.551,0.003577
1,2003/4/9,3,1519.985,1545.336,1510.344,1543.674,0.015207
1,2003/4/10,4,1546.507,1559.869,1541.289,1551.18,0.004862
1,2003/4/11,5,1552.004,1581.699,1548.529,1576.86,0.016555
1,2003/4/14,1,1581.38,1616.654,1581.204,1616.072,0.024867
1,2003/4/15,2,1619.95,1632.092,1606.726,1631.47,0.009528
1,2003/4/16,3,1633.53,1649.603,1598.828,1606.24,-0.015465
1,2003/4/17,4,1606.233,1621.229,1595.627,1613.604,0.004585
1,2003/4/18,5,1616.905,1620.806,1596.668,1603.077,-0.006524
1,2003/4/21,1,1598.504,1598.583,1557.121,1571.714,-0.019564
1,2003/4/22,2,1570.574,1575.796,1563.589,1568.692,-0.001923
1,2003/4/23,3,1568.133,1569.785,1540.067,1541.96,-0.017041
1,2003/4/24,4,1538.58,1542.106,1492.904,1503.59,-0.024884
1,2003/4/25,5,1501.569,1513.332,1481.068,1487.147,-0.010936
1,2003/4/28,1,1483.466,1538.594,1473.266,1537.691,0.033987
1,2003/4/29,2,1535.88,1535.88,1508.32,1509.313,-0.018455
1,2003/4/30,3,1511.154,1539.573,1510.601,1521.444,0.008037
1,2003/5/12,1,1522.981,1536.893,1511.871,1531.867,0.006851
1,2003/5/13,2,1533.08,1534.803,1481.745,1485.307,-0.030394
1,2003/5/14,3,1480.111,1523.324,1477.252,1522.924,0.025326
1,2003/5/15,4,1524.499,1555.557,1516.425,1555.285,0.021249
1,2003/5/16,5,1555.907,1560.724,1543.167,1554.452,-0.000536
1,2003/5/19,1,1557.294,1563.107,1546.752,1555.447,0.00064
1,2003/5/20,2,1553.691,1553.845,1530.667,1535.52,-0.012811
1,2003/5/21,3,1534.601,1547.314,1530.046,1533.483,-0.001327
1,2003/5/22,4,1532.185,1546.393,1522.187,1546.113,0.008236
1,2003/5/23,5,1547.155,1571.689,1547.089,1560.955,0.0096
1,2003/5/26,1,1563.205,1574.386,1561.04,1569.512,0.005482
1,2003/5/27,2,1572.308,1575.626,1558.126,1568.341,-0.000746
1,2003/5/28,3,1569.328,1576.624,1549.062,1551.811,-0.01054
1,2003/5/29,4,1549.052,1568.542,1543.341,1568.156,0.010533
1,2003/5/30,5,1570.92,1581.612,1567.28,1576.261,0.005168
1,2003/6/2,1,1577.987,1578.868,1564.611,1576.528,0.000169
1,2003/6/3,2,1577.078,1582.412,1561.082,1562.237,-0.009065
1,2003/6/4,3,1560.667,1574.768,1546.621,1574.111,0.007601
1,2003/6/5,4,1575.308,1575.635,1555.449,1556.249,-0.011347
1,2003/6/6,5,1553.195,1557.763,1538.097,1538.92,-0.011135
1,2003/6/9,1,1536.273,1548.141,1527.835,1530.215,-0.005657
1,2003/6/10,2,1529.533,1541.386,1529.515,1538.762,0.005585
1,2003/6/11,3,1540.716,1566.902,1540.704,1565.84,0.017597
1,2003/6/12,4,1566.921,1569.126,1556.529,1562.106,-0.002385
1,2003/6/13,5,1562.609,1572.413,1560.301,1566.766,0.002983
1,2003/6/16,1,1568.188,1569.547,1555.372,1559.705,-0.004507
1,2003/6/17,2,1559.122,1564.945,1552.434,1557.175,-0.001622
1,2003/6/18,3,1556.894,1565.917,1552.829,1553.877,-0.002118
1,2003/6/19,4,1554.016,1557.376,1530.376,1538.754,-0.009732
1,2003/6/20,5,1537.498,1542.417,1528.301,1529.47,-0.006033
1,2003/6/23,1,1524.577,1524.909,1509.434,1511.365,-0.011837
1,2003/6/24,2,1509.107,1515.843,1504.724,1512.429,0.000704
1,2003/6/25,3,1512.487,1515.923,1498.958,1502.077,-0.006845
1,2003/6/26,4,1500.343,1517.208,1486.081,1515.375,0.008853
1,2003/6/27,5,1516.814,1516.866,1494.445,1497.054,-0.01209
1,2003/6/30,1,1493.69,1500.969,1483.686,1486.024,-0.007368
1,2003/7/1,2,1485.52,1502.57,1482.82,1484.7,-0.000891
1,2003/7/2,3,1485.445,1499.971,1477.873,1499.682,0.010091
1,2003/7/3,4,1501.903,1507.706,1497.742,1504.436,0.00317
1,2003/7/4,5,1504.597,1510.172,1497.462,1502.349,-0.001387
1,2003/7/7,1,1500.851,1503.81,1490.967,1501.484,-0.000576
1,2003/7/8,2,1501.621,1513.554,1500.98,1512.019,0.007016
1,2003/7/9,3,1512.338,1513.277,1499.337,1503.314,-0.005757
1,2003/7/10,4,1503.509,1532.192,1501.709,1531.927,0.019033
1,2003/7/11,5,1532.641,1535.975,1523.244,1528.854,-0.002006
1,2003/7/14,1,1528.393,1529.329,1519.119,1521.414,-0.004866
1,2003/7/15,2,1521.564,1531.004,1516.893,1525.439,0.002646
1,2003/7/16,3,1525.499,1529.817,1520.412,1529.491,0.002656
1,2003/7/17,4,1529.972,1540.194,1529.356,1539.358,0.006451
1,2003/7/18,5,1539.049,1539.061,1506.487,1507.162,-0.020915
1,2003/7/21,1,1501.39,1504.708,1483.573,1495.885,-0.007482
1,2003/7/22,2,1499.893,1510.308,1485.464,1498.485,0.001738
1,2003/7/23,3,1499.307,1505.312,1491.664,1502.148,0.002444
1,2003/7/24,4,1503.058,1503.381,1491.199,1493.451,-0.00579
1,2003/7/25,5,1494.578,1502.639,1471.286,1477.651,-0.01058
1,2003/7/28,1,1474.736,1474.743,1464.866,1470.393,-0.004912
1,2003/7/29,2,1470.392,1480.584,1469.933,1477.296,0.004695
1,2003/7/30,3,1477.414,1483.067,1468.822,1479.652,0.001595
1,2003/7/31,4,1480.013,1482.598,1474.14,1476.742,-0.001967
1,2003/8/1,5,1476.47,1478.359,1464.978,1476.969,0.000154
1,2003/8/4,1,1476.824,1494.416,1471.89,1494.365,0.011778
1,2003/8/5,2,1494.486,1497.008,1488.967,1494.312,-0.000035
1,2003/8/6,3,1493.026,1493.389,1482.685,1486.252,-0.005394
1,2003/8/7,4,1485.741,1497.102,1485.062,1487.37,0.000752
